N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
4	Decay	Minkowski	Empty	1	0.894061	0.764045	0.786517
4	Decay	Minkowski	Empty	2	0.890851	0.764045	0.791332
4	Decay	Minkowski	Empty	3	0.889246	0.764045	0.791332
4	Decay	Minkowski	Empty	4	0.887640	0.764045	0.792937
4	Decay	Minkowski	Empty	5	0.889246	0.764045	0.794543
4	Decay	Minkowski	Empty	6	0.887640	0.764045	0.792937
4	Decay	Minkowski	Empty	7	0.887640	0.764045	0.794543
4	Decay	Minkowski	Empty	8	0.886035	0.764045	0.794543
4	Decay	Minkowski	Empty	9	0.887640	0.764045	0.796148
4	Decay	Minkowski	Empty	10	0.886035	0.764045	0.797753
4	Normalized Negative Distance	Minkowski	Empty	1	0.945425	0.719101	0.760835
4	Normalized Negative Distance	Minkowski	Empty	2	0.950241	0.741573	0.762440
4	Normalized Negative Distance	Minkowski	Empty	3	0.950241	0.735955	0.765650
4	Normalized Negative Distance	Minkowski	Empty	4	0.945425	0.713483	0.765650
4	Normalized Negative Distance	Minkowski	Empty	5	0.945425	0.713483	0.765650
4	Normalized Negative Distance	Minkowski	Empty	6	0.945425	0.713483	0.765650
4	Normalized Negative Distance	Minkowski	Empty	7	0.950241	0.730337	0.764045
4	Normalized Negative Distance	Minkowski	Empty	8	0.945425	0.713483	0.764045
4	Normalized Negative Distance	Minkowski	Empty	9	0.945425	0.713483	0.764045
4	Normalized Negative Distance	Minkowski	Empty	10	0.945425	0.713483	0.765650
5	Always One	Minkowski	Empty	1	0.853933	0.769663	0.789727
5	Always One	Minkowski	Empty	2	0.852327	0.775281	0.781701
5	Always One	Minkowski	Empty	3	0.852327	0.775281	0.783307
5	Always One	Minkowski	Empty	4	0.852327	0.775281	0.781701
5	Always One	Minkowski	Empty	5	0.852327	0.775281	0.783307
5	Always One	Minkowski	Empty	6	0.852327	0.775281	0.778491
5	Always One	Minkowski	Empty	7	0.852327	0.775281	0.778491
5	Always One	Minkowski	Empty	8	0.850722	0.775281	0.780096
5	Always One	Minkowski	Empty	9	0.849117	0.769663	0.776886
5	Always One	Minkowski	Empty	10	0.847512	0.769663	0.780096
5	Inverse Distance	Minkowski	Empty	1	0.977528	0.724719	0.772071
5	Inverse Distance	Minkowski	Empty	2	0.977528	0.719101	0.760835
5	Inverse Distance	Minkowski	Empty	3	0.977528	0.719101	0.765650
5	Inverse Distance	Minkowski	Empty	4	0.977528	0.719101	0.765650
5	Inverse Distance	Minkowski	Empty	5	0.977528	0.719101	0.767255
5	Inverse Distance	Minkowski	Empty	6	0.977528	0.719101	0.767255
5	Inverse Distance	Minkowski	Empty	7	0.977528	0.719101	0.767255
5	Inverse Distance	Minkowski	Empty	8	0.977528	0.719101	0.765650
5	Inverse Distance	Minkowski	Empty	9	0.977528	0.719101	0.767255
5	Inverse Distance	Minkowski	Empty	10	0.977528	0.719101	0.768860
5	Negative Distance	Minkowski	Empty	1	0.643660	0.516854	0.524880
5	Negative Distance	Minkowski	Empty	2	0.662921	0.533708	0.558587
5	Negative Distance	Minkowski	Empty	3	0.662921	0.539326	0.547352
5	Negative Distance	Minkowski	Empty	4	0.666132	0.533708	0.547352
5	Negative Distance	Minkowski	Empty	5	0.664526	0.533708	0.550562
5	Negative Distance	Minkowski	Empty	6	0.661316	0.544944	0.553772
5	Negative Distance	Minkowski	Empty	7	0.666132	0.539326	0.558587
5	Negative Distance	Minkowski	Empty	8	0.674157	0.544944	0.560193
5	Negative Distance	Minkowski	Empty	9	0.664526	0.544944	0.558587
5	Negative Distance	Minkowski	Empty	10	0.672552	0.556180	0.555377
5	Hump	Minkowski	Empty	1	0.866774	0.758427	0.786517
5	Hump	Minkowski	Empty	2	0.863563	0.764045	0.784912
5	Hump	Minkowski	Empty	3	0.863563	0.764045	0.784912
5	Hump	Minkowski	Empty	4	0.863563	0.764045	0.788122
5	Hump	Minkowski	Empty	5	0.863563	0.769663	0.786517
5	Hump	Minkowski	Empty	6	0.861958	0.769663	0.783307
5	Hump	Minkowski	Empty	7	0.861958	0.769663	0.783307
5	Hump	Minkowski	Empty	8	0.861958	0.769663	0.784912
5	Hump	Minkowski	Empty	9	0.861958	0.764045	0.783307
5	Hump	Minkowski	Empty	10	0.858748	0.764045	0.786517
5	Decay	Minkowski	Empty	1	0.868379	0.764045	0.794543
5	Decay	Minkowski	Empty	2	0.866774	0.764045	0.786517
5	Decay	Minkowski	Empty	3	0.866774	0.769663	0.786517
5	Decay	Minkowski	Empty	4	0.865169	0.769663	0.788122
5	Decay	Minkowski	Empty	5	0.865169	0.769663	0.788122
5	Decay	Minkowski	Empty	6	0.863563	0.769663	0.784912
5	Decay	Minkowski	Empty	7	0.863563	0.769663	0.784912
5	Decay	Minkowski	Empty	8	0.863563	0.769663	0.786517
5	Decay	Minkowski	Empty	9	0.863563	0.764045	0.783307
5	Decay	Minkowski	Empty	10	0.858748	0.764045	0.786517
5	Normalized Negative Distance	Minkowski	Empty	1	0.916533	0.724719	0.778491
5	Normalized Negative Distance	Minkowski	Empty	2	0.919743	0.719101	0.780096
5	Normalized Negative Distance	Minkowski	Empty	3	0.921348	0.719101	0.780096
5	Normalized Negative Distance	Minkowski	Empty	4	0.921348	0.719101	0.781701
5	Normalized Negative Distance	Minkowski	Empty	5	0.921348	0.719101	0.781701
5	Normalized Negative Distance	Minkowski	Empty	6	0.921348	0.719101	0.781701
5	Normalized Negative Distance	Minkowski	Empty	7	0.921348	0.719101	0.781701
5	Normalized Negative Distance	Minkowski	Empty	8	0.921348	0.719101	0.781701
5	Normalized Negative Distance	Minkowski	Empty	9	0.921348	0.719101	0.781701
5	Normalized Negative Distance	Minkowski	Empty	10	0.921348	0.719101	0.781701
6	Always One	Minkowski	Empty	1	0.842697	0.758427	0.796148
6	Always One	Minkowski	Empty	2	0.839486	0.752809	0.791332
