N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
5	Negative Distance	Minkowski	Empty	10	0.772071	0.601124	0.616372
5	Hump	Minkowski	Empty	1	0.837881	0.752809	0.805778
5	Hump	Minkowski	Empty	2	0.834671	0.764045	0.802568
5	Hump	Minkowski	Empty	3	0.837881	0.764045	0.805778
5	Hump	Minkowski	Empty	4	0.837881	0.764045	0.805778
5	Hump	Minkowski	Empty	5	0.837881	0.764045	0.805778
5	Hump	Minkowski	Empty	6	0.837881	0.764045	0.805778
5	Hump	Minkowski	Empty	7	0.839486	0.764045	0.807384
5	Hump	Minkowski	Empty	8	0.842697	0.758427	0.812199
5	Hump	Minkowski	Empty	9	0.842697	0.758427	0.810594
5	Hump	Minkowski	Empty	10	0.836276	0.758427	0.808989
5	Decay	Minkowski	Empty	1	0.837881	0.752809	0.800963
5	Decay	Minkowski	Empty	2	0.834671	0.764045	0.799358
5	Decay	Minkowski	Empty	3	0.837881	0.764045	0.800963
5	Decay	Minkowski	Empty	4	0.837881	0.764045	0.800963
5	Decay	Minkowski	Empty	5	0.837881	0.764045	0.800963
5	Decay	Minkowski	Empty	6	0.837881	0.764045	0.800963
5	Decay	Minkowski	Empty	7	0.839486	0.764045	0.802568
5	Decay	Minkowski	Empty	8	0.842697	0.758427	0.807384
5	Decay	Minkowski	Empty	9	0.842697	0.758427	0.807384
5	Decay	Minkowski	Empty	10	0.836276	0.758427	0.807384
5	Normalized Negative Distance	Minkowski	Empty	1	0.881220	0.758427	0.789727
5	Normalized Negative Distance	Minkowski	Empty	2	0.868379	0.724719	0.789727
5	Normalized Negative Distance	Minkowski	Empty	3	0.884430	0.747191	0.789727
5	Normalized Negative Distance	Minkowski	Empty	4	0.882825	0.752809	0.789727
5	Normalized Negative Distance	Minkowski	Empty	5	0.882825	0.752809	0.788122
5	Normalized Negative Distance	Minkowski	Empty	6	0.882825	0.747191	0.789727
5	Normalized Negative Distance	Minkowski	Empty	7	0.882825	0.747191	0.784912
5	Normalized Negative Distance	Minkowski	Empty	8	0.882825	0.752809	0.788122
5	Normalized Negative Distance	Minkowski	Empty	9	0.884430	0.747191	0.786517
5	Normalized Negative Distance	Minkowski	Empty	10	0.884430	0.752809	0.788122
6	Always One	Minkowski	Empty	1	0.839486	0.769663	0.797753
6	Always One	Minkowski	Empty	2	0.833066	0.769663	0.794543
6	Always One	Minkowski	Empty	3	0.833066	0.769663	0.797753
6	Always One	Minkowski	Empty	4	0.833066	0.769663	0.797753
6	Always One	Minkowski	Empty	5	0.833066	0.769663	0.797753
6	Always One	Minkowski	Empty	6	0.833066	0.769663	0.797753
6	Always One	Minkowski	Empty	7	0.833066	0.769663	0.796148
6	Always One	Minkowski	Empty	8	0.837881	0.769663	0.797753
6	Always One	Minkowski	Empty	9	0.837881	0.769663	0.797753
6	Always One	Minkowski	Empty	10	0.834671	0.764045	0.794543
6	Inverse Distance	Minkowski	Empty	1	0.916533	0.735955	0.776886
6	Inverse Distance	Minkowski	Empty	2	0.902087	0.707865	0.775281
6	Inverse Distance	Minkowski	Empty	3	0.916533	0.735955	0.776886
6	Inverse Distance	Minkowski	Empty	4	0.916533	0.735955	0.776886
6	Inverse Distance	Minkowski	Empty	5	0.916533	0.735955	0.776886
6	Inverse Distance	Minkowski	Empty	6	0.916533	0.735955	0.776886
6	Inverse Distance	Minkowski	Empty	7	0.916533	0.735955	0.772071
6	Inverse Distance	Minkowski	Empty	8	0.916533	0.730337	0.778491
6	Inverse Distance	Minkowski	Empty	9	0.916533	0.730337	0.776886
6	Inverse Distance	Minkowski	Empty	10	0.916533	0.730337	0.780096
6	Negative Distance	Minkowski	Empty	1	0.664526	0.617978	0.590690
6	Negative Distance	Minkowski	Empty	2	0.654896	0.561798	0.598716
6	Negative Distance	Minkowski	Empty	3	0.669342	0.595506	0.598716
6	Negative Distance	Minkowski	Empty	4	0.669342	0.595506	0.598716
6	Negative Distance	Minkowski	Empty	5	0.669342	0.595506	0.598716
6	Negative Distance	Minkowski	Empty	6	0.669342	0.595506	0.598716
6	Negative Distance	Minkowski	Empty	7	0.667737	0.595506	0.593900
6	Negative Distance	Minkowski	Empty	8	0.659711	0.612360	0.592295
6	Negative Distance	Minkowski	Empty	9	0.666132	0.617978	0.593900
6	Negative Distance	Minkowski	Empty	10	0.674157	0.617978	0.593900
6	Hump	Minkowski	Empty	1	0.853933	0.758427	0.796148
6	Hump	Minkowski	Empty	2	0.845907	0.758427	0.789727
6	Hump	Minkowski	Empty	3	0.845907	0.752809	0.792937
6	Hump	Minkowski	Empty	4	0.845907	0.752809	0.792937
6	Hump	Minkowski	Empty	5	0.845907	0.752809	0.792937
6	Hump	Minkowski	Empty	6	0.845907	0.752809	0.792937
6	Hump	Minkowski	Empty	7	0.845907	0.752809	0.791332
6	Hump	Minkowski	Empty	8	0.850722	0.758427	0.799358
6	Hump	Minkowski	Empty	9	0.850722	0.758427	0.799358
6	Hump	Minkowski	Empty	10	0.849117	0.764045	0.799358
6	Decay	Minkowski	Empty	1	0.853933	0.758427	0.796148
6	Decay	Minkowski	Empty	2	0.845907	0.752809	0.791332
6	Decay	Minkowski	Empty	3	0.845907	0.752809	0.794543
